City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,liverpool,53.4106,-2.9779,10.84,89,20,6.69,GB,1667884340
84,longyearbyen,78.2186,15.6401,-5.09,80,75,5.66,SJ,1667884341
85,tanete,-3.9443,119.7848,30.77,67,76,1.41,ID,1667884341
86,port lincoln,-34.7333,135.8667,22.98,55,100,5.44,AU,1667884342
87,severo-kurilsk,50.6789,156.125,4.43,72,78,8.43,RU,1667884138
88,cabo san lucas,22.8909,-109.9124,23.06,73,0,0.89,MX,1667884343
89,katsuura,35.1333,140.3,19.26,55,0,4.38,JP,1667884343
90,hermanus,-34.4187,19.2345,15.89,77,77,2.19,ZA,1667884344
91,nantucket,41.2835,-70.0995,14.52,47,0,11.47,US,1667884345
92,torbay,47.6666,-52.7314,14.21,97,100,9.77,CA,1667884345
93,airai,-8.9266,125.4092,23.41,61,79,0.35,TL,1667884346
94,gao,16.6362,1.637,20.1,16,29,5.43,ML,1667884347
95,bombay,19.0144,72.8479,28.99,45,37,2.57,IN,1667884052
96,tasiilaq,65.6145,-37.6368,-3.4,95,100,0.9,GL,1667884348
97,scarborough,54.2797,-0.4044,10.76,90,100,3.58,GB,1667884348
98,bonga,7.2833,36.2333,16.01,89,100,0.68,ET,1667884349
99,cape town,-33.9258,18.4232,17.84,84,97,0.45,ZA,1667884148
100,hilo,19.7297,-155.09,23.12,92,100,3.09,US,1667884303
101,horta,38.5333,-28.6333,17.23,70,100,0.45,PT,1667884328
102,cherskiy,68.75,161.3,-21.58,100,60,0.68,RU,1667884350
103,maceio,-9.6658,-35.7353,22.69,94,40,1.54,BR,1667884190
104,tuy hoa,13.0833,109.3,26.74,75,100,6.14,VN,1667884351
105,ponta do sol,32.6667,-17.1,21.11,83,79,2.02,PT,1667884351
106,grand haven,43.0631,-86.2284,4.49,73,0,3.09,US,1667884077
107,khatanga,71.9667,102.5,-13.43,96,100,1.26,RU,1667884352
108,sibolga,1.7427,98.7792,29.65,65,92,2.4,ID,1667884353
109,cidreira,-30.1811,-50.2056,16.35,80,39,4.24,BR,1667884353
110,souillac,-20.5167,57.5167,26.21,65,40,4.63,MU,1667884354
111,georgetown,5.4112,100.3354,30.96,70,20,4.63,MY,1667884355
112,hithadhoo,-0.6,73.0833,28.16,73,26,7.63,MV,1667884355
113,khanpur,28.6453,70.6567,26.11,38,80,5.35,PK,1667884356
114,dalvik,65.9702,-18.5286,3.75,97,100,2.64,IS,1667884357
115,mar del plata,-38.0023,-57.5575,15.53,92,0,6.26,AR,1667884357
116,natal,-5.795,-35.2094,23.36,94,20,1.03,BR,1667884039
117,bilibino,68.0546,166.4372,-20.84,94,34,2.03,RU,1667884358
118,lorengau,-2.0226,147.2712,28.89,74,100,2.7,PG,1667884358
119,mayo,38.8876,-76.5119,17.19,40,0,4.63,US,1667884359
120,vesyegonsk,58.664,37.2604,2.38,98,100,3.61,RU,1667884360
121,karangasem,-8.45,115.6167,28.63,72,92,3.09,ID,1667884360
122,umea,63.8284,20.2597,-1.72,100,0,2.06,SE,1667884361
123,tuatapere,-46.1333,167.6833,18.77,54,54,2.46,NZ,1667884361
124,honningsvag,70.9821,25.9704,3.86,87,75,3.09,NO,1667884362
125,sharjah,25.3573,55.4033,29.99,47,0,1.54,AE,1667884362
126,poshekhonye,58.4993,39.1353,2.57,97,100,4.29,RU,1667884363
127,athabasca,54.7169,-113.2854,-12.93,95,100,4.54,CA,1667884364
128,saint-georges,12.0564,-61.7485,26.12,83,99,4.53,GD,1667884364
129,aykhal,66.0,111.5,-18.34,100,98,1.46,RU,1667884365
130,chuy,-33.6971,-53.4616,13.91,89,8,3.35,UY,1667884366
131,saldanha,-33.0117,17.9442,16.15,80,86,2.66,ZA,1667884366
132,samarai,-10.6167,150.6667,29.0,70,24,4.02,PG,1667884366
133,vaini,-21.2,-175.2,26.09,73,20,3.6,TO,1667884367
134,gat,31.61,34.7642,17.1,100,22,4.52,IL,1667884367
135,wilmington,34.2257,-77.9447,20.95,85,100,2.57,US,1667884331
136,fortuna,40.5982,-124.1573,7.19,97,100,5.14,US,1667884369
137,nouadhibou,20.931,-17.0347,21.31,72,22,6.6,MR,1667884369
138,svetlogorsk,52.6333,29.7333,5.9,98,99,3.02,BY,1667884370
139,chokurdakh,70.6333,147.9167,-24.09,98,75,4.69,RU,1667884370
140,ilulissat,69.2167,-51.1,-23.33,87,17,2.91,GL,1667884371
141,balkanabat,39.5108,54.3671,7.38,42,0,4.35,TM,1667884371
142,havre-saint-pierre,50.2334,-63.5986,4.64,66,26,12.07,CA,1667884371
143,pisco,-13.7,-76.2167,16.12,82,0,1.03,PE,1667884372
144,giyon,8.5333,37.9833,15.72,55,86,3.76,ET,1667884372
145,aquiraz,-3.9014,-38.3911,26.77,78,14,3.8,BR,1667884373
146,akureyri,65.6835,-18.0878,3.24,99,100,2.22,IS,1667884373
147,bulit,7.1153,124.7894,32.94,59,79,0.48,PH,1667884373
148,vanavara,60.34,102.2797,-6.55,86,99,4.64,RU,1667884374
149,high level,58.5169,-117.136,-20.95,98,83,1.16,CA,1667884374
150,ojinaga,29.5667,-104.4167,22.53,64,0,4.63,MX,1667884375
151,yellowknife,62.456,-114.3525,-14.69,77,100,0.89,CA,1667884375
152,general bravo,25.8,-99.1667,23.72,83,5,6.64,MX,1667884376
153,suntar,62.1444,117.6319,-7.19,93,100,1.05,RU,1667884376
154,lagoa,39.05,-27.9833,17.12,70,100,7.26,PT,1667884377
155,darya khan,31.7912,71.1039,24.56,36,15,1.65,PK,1667884378
156,carnarvon,-24.8667,113.6333,22.1,51,5,6.27,AU,1667884378
157,vytegra,61.0064,36.4481,1.78,91,100,4.0,RU,1667884379
158,padang,-0.9492,100.3543,28.64,72,100,2.31,ID,1667884379
159,preobrazheniye,42.9019,133.9064,8.41,42,0,2.47,RU,1667884380
160,mahibadhoo,3.7833,72.9667,27.85,73,4,5.18,MV,1667884381
161,ngunguru,-35.6167,174.5,16.22,97,100,8.1,NZ,1667884381
162,kununurra,-15.7667,128.7333,40.99,16,88,3.6,AU,1667884382
163,dunedin,-45.8742,170.5036,16.35,67,67,4.93,NZ,1667884227
164,esperance,-33.8667,121.9,17.0,66,100,7.37,AU,1667884383
165,quarai,-30.3875,-56.4514,12.12,74,0,4.63,BR,1667884383
166,nikolskoye,59.7035,30.7861,4.94,94,99,4.58,RU,1667884384
167,nanortalik,60.1432,-45.2371,-1.87,87,100,1.23,GL,1667884384
168,mingoyo,-10.1,39.6333,27.07,69,81,2.65,TZ,1667884385
169,montepuez,-13.1256,38.9997,24.26,61,16,4.06,MZ,1667884386
170,sorong,-0.8833,131.25,28.37,75,100,3.58,ID,1667884301
171,port moresby,-9.4431,147.1797,28.66,71,82,4.5,PG,1667884387
172,sandwick,60.0,-1.25,11.9,94,100,8.75,GB,1667884387
173,bethel,41.3712,-73.414,11.38,54,0,3.09,US,1667884388
174,rehoboth,-23.3167,17.0833,16.07,66,14,1.29,NA,1667884366
175,kabompo,-13.5927,24.2008,18.4,94,100,1.15,ZM,1667884388
176,aklavik,68.2191,-135.0107,-16.48,83,100,5.11,CA,1667884389
177,manoel urbano,-8.8389,-69.2597,22.43,58,11,1.06,BR,1667884389
178,trairi,-3.2778,-39.2689,25.03,73,66,3.62,BR,1667884152
179,mahebourg,-20.4081,57.7,26.16,65,40,4.63,MU,1667884390
180,bukene,-4.2333,32.8833,21.45,70,80,1.26,TZ,1667884390
181,bathsheba,13.2167,-59.5167,28.34,78,40,7.72,BB,1667884391
182,shieli,44.1667,66.75,4.97,84,98,3.02,KZ,1667884391
183,ratnagiri,16.9833,73.3,29.23,49,33,2.74,IN,1667884392
184,bemidji,47.4736,-94.8803,1.14,76,100,6.69,US,1667884392
185,adelaide,-34.9333,138.6,34.48,32,0,5.14,AU,1667884192
186,tall kayf,37.0833,41.0667,15.19,46,100,3.55,TR,1667884394
187,martapura,-3.4167,114.85,29.93,68,98,1.77,ID,1667884395
188,smithers,54.7804,-127.1743,-10.82,57,100,1.03,CA,1667884395
189,sitka,57.0531,-135.33,-2.78,46,22,2.04,US,1667884313
